age_CE  trsgi   numsamp
1351     733      4
1352     740      4
1353    1047      4
1354    1037      4
1355    1001      4
1356     918      4
1357     897      4
1358     870      4
1359     854      4
1360     781      4
1361     910      4
1362     878      4
1363     927      4
1364    1087      4
1365    1045      4
1366    1251      4
1367    1265      4
1368    1159      4
1369     982      4
1370     912      4
1371     960      4
1372     981      4
1373    1038      4
1374     987      4
1375     990      4
1376     778      4
1377     433      4
1378     711      4
1379     803      4
1380     741      4
1381     887      4
1382     856      4
1383     970      4
1384     959      4
1385     880      4
1386     985      5
1387    1005      5
1388    1080      5
1389    1356      5
1390     977      5
1391     915      5
1392    1130      5
1393     979      5
1394     904      5
1395     834      5
1396     875      5
1397     945      5
1398     970      5
1399    1108      5
1400    1027      5
1401    1018      5
1402     955      5
1403     863      5
1404     993      5
1405    1018      5
1406    1029      6
1407    1100      6
1408     951      6
1409    1079      6
1410     905      6
1411    1111      6
1412    1097      6
1413    1112      6
1414    1185      6
1415    1339      6
1416    1109      6
1417    1018      6
1418    1125      6
1419    1155      6
1420    1266      6
1421    1233      6
1422    1250      6
1423    1340      6
1424    1373      7
1425    1224      7
1426     747      7
1427     791      7
1428     983      7
1429    1143      7
1430    1045      7
1431    1136      7
1432    1119      7
1433    1237      7
1434    1272      7
1435     992      7
1436     995      7
1437    1023      7
1438    1007      7
1439    1096      7
1440     976      7
1441    1026      7
1442     778      7
1443     738      7
1444     834      7
1445    1042      7
1446    1038      7
1447    1074      7
1448    1119      7
1449    1205      7
1450    1099      7
1451     913      7
1452    1023      7
1453    1119      7
1454    1018      7
1455    1062      7
1456     930      7
1457     926      7
1458     967      7
1459     784      7
1460     872      7
1461     819      7
1462     946      7
1463     849      7
1464     820      8
1465     793      8
1466     796      8
1467     878      8
1468     768      8
1469     785      8
1470     782      8
1471     948      8
1472     976      8
1473     774      9
1474     797      9
1475     836      9
1476     725     11
1477     854     11
1478     911     11
1479     831     11
1480     940     11
1481     971     11
1482     992     11
1483    1054     11
1484     928     11
1485     701     11
1486     820     11
1487     821     11
1488     899     11
1489     890     11
1490     940     11
1491    1046     11
1492    1001     11
1493    1028     11
1494    1077     11
1495    1110     11
1496    1058     11
1497    1012     11
1498    1150     11
1499     881     11
1500     845     11
1501    1196     12
1502    1217     12
1503     937     12
1504     938     13
1505    1175     13
1506    1249     13
1507    1267     13
1508    1200     13
1509    1318     13
1510     894     14
1511     854     14
1512     971     14
1513    1070     14
1514    1055     14
1515    1030     14
1516    1100     15
1517    1147     15
1518    1072     15
1519    1124     15
1520    1066     15
1521    1077     16
1522    1097     16
