age_CE  trsgi   numsamp
1970    1184     12
1971    1144     12
1972     932     12
1973     958     12
1974    1241     12
1975    1099     12
1976    1156     12
1977     677     12
1978    1037     12
1979     971     12
1980    1131     12
1981    1154     12
1982    1181     12
1983    1157     12
1984    1254     12
1985    1345     12
1986    1324     11
1987     874     11
1988     934     11
1989     940     11
1990     796     11
1991     813     11
1992    1012     10
